BookID,Title,Author,Genre,Rating,Review Count,Description
54,Book 54 Title,J.D. Salinger,Sci-Fi,1.2,2614,"This is a description of Book 54, a great sci-fi novel."
55,Book 55 Title,J.D. Salinger,Historical,2.7,4137,"This is a description of Book 55, a great historical novel."
56,Book 56 Title,J.R.R. Tolkien,Fantasy,1.1,826,"This is a description of Book 56, a great fantasy novel."
57,Book 57 Title,Agatha Christie,Fiction,1.1,2778,"This is a description of Book 57, a great fiction novel."
58,Book 58 Title,Isaac Asimov,Self-Help,2.8,1714,"This is a description of Book 58, a great self-help novel."
59,Book 59 Title,J.K. Rowling,Romance,3.8,1362,"This is a description of Book 59, a great romance novel."
60,Book 60 Title,Harper Lee,Fantasy,2.9,3979,"This is a description of Book 60, a great fantasy novel."
61,Book 61 Title,J.D. Salinger,Mystery,2.2,3396,"This is a description of Book 61, a great mystery novel."
62,Book 62 Title,Mark Twain,Non-Fiction,4.8,1455,"This is a description of Book 62, a great non-fiction novel."
63,Book 63 Title,George Orwell,Self-Help,2.4,2756,"This is a description of Book 63, a great self-help novel."
64,Book 64 Title,J.D. Salinger,Historical,1.3,1051,"This is a description of Book 64, a great historical novel."
65,Book 65 Title,Isaac Asimov,Thriller,4.7,146,"This is a description of Book 65, a great thriller novel."
66,Book 66 Title,Mark Twain,Fiction,2.6,3862,"This is a description of Book 66, a great fiction novel."
67,Book 67 Title,George Orwell,Self-Help,4.2,4741,"This is a description of Book 67, a great self-help novel."
68,Book 68 Title,Mark Twain,Sci-Fi,2.3,1612,"This is a description of Book 68, a great sci-fi novel."
69,Book 69 Title,Jane Austen,Sci-Fi,1.4,976,"This is a description of Book 69, a great sci-fi novel."
70,Book 70 Title,J.K. Rowling,Thriller,4.1,1994,"This is a description of Book 70, a great thriller novel."
71,Book 71 Title,J.D. Salinger,Non-Fiction,2.4,3253,"This is a description of Book 71, a great non-fiction novel."
72,Book 72 Title,George Orwell,Fiction,3.7,1758,"This is a description of Book 72, a great fiction novel."
73,Book 73 Title,Stephen King,Fantasy,1.4,628,"This is a description of Book 73, a great fantasy novel."
74,Book 74 Title,J.K. Rowling,Romance,3.6,2528,"This is a description of Book 74, a great romance novel."
75,Book 75 Title,Jane Austen,Romance,1.7,2053,"This is a description of Book 75, a great romance novel."
76,Book 76 Title,J.K. Rowling,Fantasy,2.2,3526,"This is a description of Book 76, a great fantasy novel."
77,Book 77 Title,J.D. Salinger,Romance,4.0,3585,"This is a description of Book 77, a great romance novel."
78,Book 78 Title,J.K. Rowling,Non-Fiction,3.9,4360,"This is a description of Book 78, a great non-fiction novel."
79,Book 79 Title,Agatha Christie,Mystery,3.9,779,"This is a description of Book 79, a great mystery novel."
80,Book 80 Title,Isaac Asimov,Fiction,1.3,3165,"This is a description of Book 80, a great fiction novel."
81,Book 81 Title,J.K. Rowling,Historical,4.5,1674,"This is a description of Book 81, a great historical novel."
82,Book 82 Title,Agatha Christie,Non-Fiction,3.6,262,"This is a description of Book 82, a great non-fiction novel."
83,Book 83 Title,Agatha Christie,Fantasy,2.0,3547,"This is a description of Book 83, a great fantasy novel."
84,Book 84 Title,J.R.R. Tolkien,Sci-Fi,2.6,594,"This is a description of Book 84, a great sci-fi novel."
85,Book 85 Title,J.K. Rowling,Mystery,2.9,2475,"This is a description of Book 85, a great mystery novel."
86,Book 86 Title,Harper Lee,Self-Help,2.7,4806,"This is a description of Book 86, a great self-help novel."
87,Book 87 Title,George Orwell,Mystery,4.9,2133,"This is a description of Book 87, a great mystery novel."
88,Book 88 Title,J.R.R. Tolkien,Sci-Fi,3.2,4698,"This is a description of Book 88, a great sci-fi novel."
89,Book 89 Title,Mark Twain,Fiction,2.9,3508,"This is a description of Book 89, a great fiction novel."
90,Book 90 Title,J.D. Salinger,Romance,1.6,4345,"This is a description of Book 90, a great romance novel."
91,Book 91 Title,Isaac Asimov,Non-Fiction,2.2,3042,"This is a description of Book 91, a great non-fiction novel."
92,Book 92 Title,J.D. Salinger,Non-Fiction,2.9,4545,"This is a description of Book 92, a great non-fiction novel."
93,Book 93 Title,J.K. Rowling,Historical,1.7,1115,"This is a description of Book 93, a great historical novel."
94,Book 94 Title,J.R.R. Tolkien,Mystery,2.6,2811,"This is a description of Book 94, a great mystery novel."
95,Book 95 Title,J.K. Rowling,Non-Fiction,4.8,1221,"This is a description of Book 95, a great non-fiction novel."
96,Book 96 Title,J.K. Rowling,Historical,1.0,2110,"This is a description of Book 96, a great historical novel."
97,Book 97 Title,J.D. Salinger,Fiction,3.0,1071,"This is a description of Book 97, a great fiction novel."
98,Book 98 Title,J.D. Salinger,Fantasy,2.4,4552,"This is a description of Book 98, a great fantasy novel."
99,Book 99 Title,J.D. Salinger,Historical,4.4,1720,"This is a description of Book 99, a great historical novel."
100,Book 100 Title,J.R.R. Tolkien,Fantasy,3.7,3192,"This is a description of Book 100, a great fantasy novel."
